umidade_solo,umidade_ambiente,temperatura,volume_agua,datahora
99,50,24.2,0.0,2023-09-15 10:00:00
96,53,24.7,0.0,2023-09-15 11:00:00
94,54,24.7,0.0,2023-09-15 12:00:00
94,54,24.7,0.0,2023-09-15 13:00:00
90,51,24.3,0.0,2023-09-15 14:00:00
86,51,24.2,0.0,2023-09-15 15:00:00
81,51,23.9,0.0,2023-09-15 16:00:00
78,51,23.7,0.0,2023-09-15 17:00:00
76,51,23.6,0.0,2023-09-15 18:00:00
75,52,23.4,0.0,2023-09-15 19:00:00
74,52,23.3,0.0,2023-09-15 20:00:00
73,53,23.1,0.0,2023-09-15 21:00:00
73,53,23.0,0.0,2023-09-15 22:00:00
72,53,22.9,0.0,2023-09-15 23:00:00
72,53,22.8,0.0,2023-09-16 00:00:00
72,53,22.6,0.0,2023-09-16 01:00:00
72,54,22.5,0.0,2023-09-16 02:00:00
72,54,22.4,0.0,2023-09-16 03:00:00
72,54,22.2,0.0,2023-09-16 04:00:00
72,54,22.0,0.0,2023-09-16 05:00:00
72,54,22.0,0.0,2023-09-16 06:00:00
72,53,22.3,0.0,2023-09-16 07:00:00
72,52,22.5,0.0,2023-09-16 08:00:00
71,53,22.6,0.0,2023-09-16 09:00:00
71,54,22.7,0.0,2023-09-16 10:00:00
71,54,23.3,0.0,2023-09-16 11:00:00
71,55,23.2,0.0,2023-09-16 12:00:00
72,57,23.5,0.0,2023-09-16 13:00:00
72,57,23.8,0.0,2023-09-16 14:00:00
72,56,24.1,0.0,2023-09-16 15:00:00
72,56,24.4,0.0,2023-09-16 16:00:00
72,56,24.7,0.0,2023-09-16 17:00:00
72,56,24.8,0.0,2023-09-16 18:00:00
72,56,24.8,0.0,2023-09-16 19:00:00
72,56,24.8,0.0,2023-09-16 20:00:00
72,56,24.8,0.0,2023-09-16 21:00:00
72,56,24.8,0.0,2023-09-16 22:00:00
72,57,24.7,0.0,2023-09-16 23:00:00
72,57,24.6,0.0,2023-09-17 00:00:00
72,58,24.6,0.0,2023-09-17 01:00:00
72,58,24.5,0.0,2023-09-17 02:00:00
72,58,24.4,0.0,2023-09-17 03:00:00
71,58,24.3,0.0,2023-09-17 04:00:00
71,58,24.1,0.0,2023-09-17 05:00:00
71,58,24.2,0.0,2023-09-17 06:00:00
71,57,24.4,0.0,2023-09-17 07:00:00
71,56,24.7,0.0,2023-09-17 08:00:00
71,57,24.8,0.0,2023-09-17 09:00:00
70,58,25.0,0.0,2023-09-17 10:00:00
71,58,25.5,0.0,2023-09-17 11:00:00
71,58,25.7,0.0,2023-09-17 12:00:00
71,58,25.8,0.0,2023-09-17 13:00:00
71,57,26.0,0.0,2023-09-17 14:00:00
71,56,26.4,0.0,2023-09-17 15:00:00
71,55,26.6,0.0,2023-09-17 16:00:00
71,54,26.9,0.0,2023-09-17 17:00:00
71,54,27.0,0.0,2023-09-17 18:00:00
71,54,27.0,0.0,2023-09-17 19:00:00
71,55,27.0,0.0,2023-09-17 20:00:00
71,54,27.0,0.0,2023-09-17 21:00:00
70,54,27.0,0.0,2023-09-17 22:00:00
70,55,27.0,0.0,2023-09-17 23:00:00
70,55,26.9,0.0,2023-09-18 00:00:00
70,55,26.8,0.0,2023-09-18 01:00:00
70,55,26.7,0.0,2023-09-18 02:00:00
70,56,26.5,0.0,2023-09-18 03:00:00
70,56,26.4,0.0,2023-09-18 04:00:00
69,56,26.2,0.0,2023-09-18 05:00:00
69,56,26.2,0.0,2023-09-18 06:00:00
69,55,26.5,0.0,2023-09-18 07:00:00
68,54,26.7,0.0,2023-09-18 08:00:00
57,53,27.6,0.0,2023-09-18 09:00:00
57,52,28.1,0.0,2023-09-18 10:00:00
62,49,28.8,3.51,2023-09-18 11:00:00
70,48,29.1,0.0,2023-09-18 12:00:00
69,50,28.8,0.0,2023-09-18 13:00:00
67,53,28.6,0.0,2023-09-18 14:00:00
67,51,28.7,0.0,2023-09-18 15:00:00
66,50,29.2,0.0,2023-09-18 16:00:00
66,50,29.4,0.0,2023-09-18 17:00:00
66,51,29.4,0.0,2023-09-18 18:00:00
66,51,29.5,0.0,2023-09-18 19:00:00
64,52,29.5,0.0,2023-09-18 20:00:00
64,52,29.4,0.0,2023-09-18 21:00:00
65,52,29.4,0.0,2023-09-18 22:00:00
58,51,29.3,0.0,2023-09-18 23:00:00
55,52,29.2,0.0,2023-09-19 00:00:00
62,52,29.0,0.0,2023-09-19 01:00:00
64,52,28.8,0.0,2023-09-19 02:00:00
65,53,28.6,0.0,2023-09-19 03:00:00
65,53,28.4,0.0,2023-09-19 04:00:00
65,53,28.2,0.0,2023-09-19 05:00:00
65,53,28.0,0.0,2023-09-19 06:00:00
64,52,28.1,0.0,2023-09-19 07:00:00
64,47,28.2,0.0,2023-09-19 08:00:00
63,45,28.5,0.0,2023-09-19 09:00:00
56,44,28.8,0.0,2023-09-19 10:00:00
57,42,29.4,0.07,2023-09-19 11:00:00
56,44,29.3,0.0,2023-09-19 12:00:00
56,42,29.2,0.21,2023-09-19 13:00:00
57,39,29.4,0.62,2023-09-19 14:00:00
57,39,29.5,0.23,2023-09-19 15:00:00
57,34,29.9,0.04,2023-09-19 16:00:00
57,34,30.1,0.04,2023-09-19 17:00:00
57,37,29.9,1.24,2023-09-19 18:00:00
57,38,29.9,0.5,2023-09-19 19:00:00
57,40,29.9,0.36,2023-09-19 20:00:00
57,42,29.9,0.4,2023-09-19 21:00:00
57,43,29.9,0.41,2023-09-19 22:00:00
55,45,29.8,0.0,2023-09-19 23:00:00
55,46,29.6,0.0,2023-09-20 00:00:00
55,49,29.4,0.0,2023-09-20 01:00:00
55,50,29.0,0.0,2023-09-20 02:00:00
55,51,28.7,0.0,2023-09-20 03:00:00
55,52,28.5,0.0,2023-09-20 04:00:00
55,54,28.2,0.0,2023-09-20 05:00:00
57,54,28.0,0.27,2023-09-20 06:00:00
57,54,27.9,0.29,2023-09-20 07:00:00
64,50,28.1,0.09,2023-09-20 08:00:00
57,50,28.4,0.49,2023-09-20 09:00:00
66,52,28.5,0.0,2023-09-20 10:00:00
67,48,28.8,0.0,2023-09-20 11:00:00
80,48,29.1,0.0,2023-09-20 12:00:00
94,51,29.1,0.0,2023-09-20 13:00:00
100,50,29.2,0.0,2023-09-20 14:00:00
101,49,29.4,0.0,2023-09-20 15:00:00
102,47,29.6,0.0,2023-09-20 16:00:00
102,48,29.6,0.0,2023-09-20 17:00:00
102,49,29.7,0.0,2023-09-20 18:00:00
102,50,29.7,0.0,2023-09-20 19:00:00
102,51,29.6,0.0,2023-09-20 20:00:00
102,52,29.5,0.0,2023-09-20 21:00:00
102,52,29.3,0.0,2023-09-20 22:00:00
102,52,29.1,0.0,2023-09-20 23:00:00
102,53,28.9,0.0,2023-09-21 00:00:00
102,53,28.6,0.0,2023-09-21 01:00:00
102,53,28.4,0.0,2023-09-21 02:00:00
102,52,28.2,0.0,2023-09-21 03:00:00
102,52,28.0,0.0,2023-09-21 04:00:00
102,52,27.8,0.0,2023-09-21 05:00:00
102,52,27.7,0.0,2023-09-21 06:00:00
101,52,27.6,0.0,2023-09-21 07:00:00
101,53,27.4,0.0,2023-09-21 08:00:00
101,53,27.4,0.0,2023-09-21 09:00:00
95,52,28.0,0.0,2023-09-21 10:00:00
62,51,28.6,0.0,2023-09-21 11:00:00
61,52,28.6,0.0,2023-09-21 12:00:00
60,51,28.4,0.0,2023-09-21 13:00:00
60,50,28.6,0.0,2023-09-21 14:00:00
59,50,28.8,0.0,2023-09-21 15:00:00
58,52,29.2,0.0,2023-09-21 16:00:00
57,51,29.5,0.0,2023-09-21 17:00:00
58,50,29.6,0.0,2023-09-21 18:00:00
57,52,29.7,0.0,2023-09-21 19:00:00
57,54,29.6,0.03,2023-09-21 20:00:00
57,52,29.2,0.04,2023-09-21 21:00:00
57,52,28.7,0.0,2023-09-21 22:00:00
57,52,28.5,0.0,2023-09-21 23:00:00
57,52,28.4,0.0,2023-09-22 00:00:00
57,52,28.2,0.0,2023-09-22 01:00:00
56,52,28.0,0.0,2023-09-22 02:00:00
56,52,27.8,0.0,2023-09-22 03:00:00
56,52,27.6,0.0,2023-09-22 04:00:00
56,53,27.4,0.0,2023-09-22 05:00:00
57,52,27.3,0.09,2023-09-22 06:00:00
57,52,27.5,0.09,2023-09-22 07:00:00
58,52,27.6,0.01,2023-09-22 08:00:00
65,51,27.9,0.0,2023-09-22 09:00:00
70,50,28.5,0.0,2023-09-22 10:00:00
61,49,29.2,0.0,2023-09-22 11:00:00
61,50,29.3,0.0,2023-09-22 12:00:00
61,51,29.3,0.0,2023-09-22 13:00:00
61,49,29.4,0.0,2023-09-22 14:00:00
61,46,29.7,0.0,2023-09-22 15:00:00
61,49,29.9,0.0,2023-09-22 16:00:00
61,45,30.0,0.0,2023-09-22 17:00:00
61,42,30.0,0.0,2023-09-22 18:00:00
61,42,30.0,0.0,2023-09-22 19:00:00
61,42,30.0,0.0,2023-09-22 20:00:00
61,43,29.9,0.0,2023-09-22 21:00:00
61,44,30.0,0.0,2023-09-22 22:00:00
61,46,29.9,0.0,2023-09-22 23:00:00
60,50,29.9,0.0,2023-09-23 00:00:00
60,52,29.8,0.0,2023-09-23 01:00:00
60,52,29.6,0.0,2023-09-23 02:00:00
60,53,29.4,0.0,2023-09-23 03:00:00
60,54,29.2,0.0,2023-09-23 04:00:00
60,54,29.0,0.0,2023-09-23 05:00:00
60,52,28.9,0.02,2023-09-23 06:00:00
60,53,29.0,0.0,2023-09-23 07:00:00
60,53,29.2,0.0,2023-09-23 08:00:00
60,52,29.3,0.0,2023-09-23 09:00:00
60,52,29.4,0.0,2023-09-23 10:00:00
60,50,29.7,0.0,2023-09-23 11:00:00
60,48,29.9,0.0,2023-09-23 12:00:00
60,50,29.9,0.02,2023-09-23 13:00:00
61,45,29.9,0.0,2023-09-23 14:00:00
60,43,30.0,0.0,2023-09-23 15:00:00
60,40,30.3,0.0,2023-09-23 16:00:00
60,40,30.5,0.0,2023-09-23 17:00:00
60,40,30.4,0.0,2023-09-23 18:00:00
60,40,30.4,0.0,2023-09-23 19:00:00
60,41,30.2,0.0,2023-09-23 20:00:00
60,42,30.1,0.0,2023-09-23 21:00:00
60,42,30.0,0.0,2023-09-23 22:00:00
60,42,30.0,0.0,2023-09-23 23:00:00
60,43,29.9,0.0,2023-09-24 00:00:00
60,45,29.9,0.0,2023-09-24 01:00:00
60,48,29.9,0.0,2023-09-24 02:00:00
60,49,29.8,0.0,2023-09-24 03:00:00
60,50,29.6,0.0,2023-09-24 04:00:00
60,51,29.4,0.0,2023-09-24 05:00:00
60,51,29.2,0.0,2023-09-24 06:00:00
60,49,29.4,0.0,2023-09-24 07:00:00
60,49,29.5,0.0,2023-09-24 08:00:00
60,48,29.6,0.0,2023-09-24 09:00:00
60,49,29.7,0.0,2023-09-24 10:00:00
59,45,29.9,0.08,2023-09-24 11:00:00
60,44,29.9,0.0,2023-09-24 12:00:00
60,43,30.0,0.06,2023-09-24 13:00:00
59,40,30.1,0.0,2023-09-24 14:00:00
59,37,30.5,0.05,2023-09-24 15:00:00
59,36,30.8,0.05,2023-09-24 16:00:00
58,35,31.0,0.15,2023-09-24 17:00:00
59,36,31.0,0.04,2023-09-24 18:00:00
58,38,31.1,0.91,2023-09-24 19:00:00
58,38,31.0,1.01,2023-09-24 20:00:00
58,40,31.0,0.44,2023-09-24 21:00:00
58,40,30.9,0.34,2023-09-24 22:00:00
57,41,30.8,0.0,2023-09-24 23:00:00
57,41,30.6,0.0,2023-09-25 00:00:00
57,43,30.4,0.0,2023-09-25 01:00:00
57,44,30.2,0.0,2023-09-25 02:00:00
57,45,30.0,0.0,2023-09-25 03:00:00
57,46,30.0,0.0,2023-09-25 04:00:00
57,46,30.0,0.0,2023-09-25 05:00:00
58,47,29.9,1.44,2023-09-25 06:00:00
58,47,29.9,2.06,2023-09-25 07:00:00
58,47,30.0,2.61,2023-09-25 08:00:00
60,47,30.0,3.21,2023-09-25 09:00:00
81,49,30.3,0.04,2023-09-25 10:00:00
75,48,30.9,0.0,2023-09-25 11:00:00
73,49,30.8,0.0,2023-09-25 12:00:00
73,49,30.6,0.0,2023-09-25 13:00:00
73,48,30.9,0.0,2023-09-25 14:00:00
73,49,31.0,0.0,2023-09-25 15:00:00
73,49,31.2,0.0,2023-09-25 16:00:00
73,50,31.1,0.0,2023-09-25 17:00:00
73,50,30.9,0.0,2023-09-25 18:00:00
73,50,30.7,0.0,2023-09-25 19:00:00
73,50,30.4,0.0,2023-09-25 20:00:00
72,49,30.2,0.0,2023-09-25 21:00:00
72,49,30.1,0.0,2023-09-25 22:00:00
72,49,30.0,0.0,2023-09-25 23:00:00
72,49,29.9,0.0,2023-09-26 00:00:00
72,49,30.0,0.0,2023-09-26 01:00:00
73,49,29.9,0.0,2023-09-26 02:00:00
73,51,29.9,0.0,2023-09-26 03:00:00
72,53,29.8,0.0,2023-09-26 04:00:00
72,53,29.8,0.0,2023-09-26 05:00:00
73,52,29.6,0.0,2023-09-26 06:00:00
74,51,28.9,0.0,2023-09-26 07:00:00
74,52,29.0,0.0,2023-09-26 08:00:00
73,52,29.3,0.0,2023-09-26 09:00:00
73,52,29.4,0.0,2023-09-26 10:00:00
72,51,29.7,0.0,2023-09-26 11:00:00
72,51,29.9,0.0,2023-09-26 12:00:00
72,51,30.0,0.0,2023-09-26 13:00:00
72,55,30.2,0.0,2023-09-26 14:00:00
72,57,30.4,0.0,2023-09-26 15:00:00
72,54,30.6,0.0,2023-09-26 16:00:00
72,54,30.7,0.0,2023-09-26 17:00:00
72,54,30.8,0.0,2023-09-26 18:00:00
72,54,30.8,0.0,2023-09-26 19:00:00
72,54,30.8,0.0,2023-09-26 20:00:00
72,54,30.8,0.0,2023-09-26 21:00:00
73,54,30.7,0.0,2023-09-26 22:00:00
72,54,30.6,0.0,2023-09-26 23:00:00
72,54,30.5,0.0,2023-09-27 00:00:00
72,55,30.4,0.0,2023-09-27 01:00:00
72,55,30.3,0.0,2023-09-27 02:00:00
72,55,30.2,0.0,2023-09-27 03:00:00
72,55,30.1,0.0,2023-09-27 04:00:00
72,56,30.0,0.0,2023-09-27 05:00:00
72,55,29.9,0.0,2023-09-27 06:00:00
72,56,29.8,0.0,2023-09-27 07:00:00
72,56,29.8,0.0,2023-09-27 08:00:00
72,56,29.8,0.0,2023-09-27 09:00:00
59,56,29.9,2.26,2023-09-27 10:00:00
58,56,29.7,1.16,2023-09-27 11:00:00
58,56,29.7,1.32,2023-09-27 12:00:00
58,57,29.8,1.03,2023-09-27 13:00:00
58,59,29.9,1.35,2023-09-27 14:00:00
58,62,29.9,1.65,2023-09-27 15:00:00
58,60,30.0,1.31,2023-09-27 16:00:00
58,61,29.7,1.71,2023-09-27 17:00:00
58,62,29.4,1.56,2023-09-27 18:00:00
58,63,29.2,1.33,2023-09-27 19:00:00
58,63,28.9,1.26,2023-09-27 20:00:00
58,63,28.7,1.11,2023-09-27 21:00:00
58,63,28.6,1.3,2023-09-27 22:00:00
57,63,28.4,0.0,2023-09-27 23:00:00
57,63,28.1,0.0,2023-09-28 00:00:00
56,62,27.9,0.0,2023-09-28 01:00:00
56,60,27.6,0.0,2023-09-28 02:00:00
56,59,27.4,0.0,2023-09-28 03:00:00
56,57,27.1,0.0,2023-09-28 04:00:00
56,55,26.8,0.0,2023-09-28 05:00:00
58,54,26.6,2.79,2023-09-28 06:00:00
59,51,25.8,3.23,2023-09-28 09:00:00
51,52,25.8,1.1,2023-09-28 10:00:00
64,51,25.5,0.0,2023-09-28 11:00:00
62,51,25.5,0.0,2023-09-28 12:00:00
62,59,25.5,0.0,2023-09-28 13:00:00
62,55,25.5,0.0,2023-09-28 14:00:00
63,53,25.4,0.0,2023-09-28 15:00:00
64,51,25.2,0.0,2023-09-28 16:00:00
65,52,25.2,0.0,2023-09-28 17:00:00
64,52,25.2,0.0,2023-09-28 18:00:00
64,52,25.2,0.0,2023-09-28 19:00:00
64,52,25.1,0.0,2023-09-28 20:00:00
64,52,25.1,0.0,2023-09-28 21:00:00
64,52,25.0,0.0,2023-09-28 22:00:00
64,52,24.8,0.0,2023-09-28 23:00:00
64,51,24.3,0.0,2023-09-29 00:00:00
64,52,23.9,0.0,2023-09-29 01:00:00
64,52,23.8,0.0,2023-09-29 02:00:00
64,52,23.6,0.0,2023-09-29 03:00:00
64,53,23.5,0.0,2023-09-29 04:00:00
64,53,23.4,0.0,2023-09-29 05:00:00
64,54,23.2,0.0,2023-09-29 06:00:00
64,54,23.3,0.0,2023-09-29 07:00:00
56,54,23.6,1.51,2023-09-29 08:00:00
97,54,24.1,0.0,2023-09-29 09:00:00
111,54,24.4,0.0,2023-09-29 10:00:00
105,54,24.2,0.0,2023-09-29 11:00:00
102,54,24.4,0.0,2023-09-29 12:00:00
103,54,24.4,0.0,2023-09-29 13:00:00
103,54,24.5,0.0,2023-09-29 14:00:00
103,55,24.7,0.0,2023-09-29 15:00:00
103,55,24.7,0.0,2023-09-29 16:00:00
102,55,24.8,0.0,2023-09-29 17:00:00
102,55,24.7,0.0,2023-09-29 18:00:00
102,55,24.6,0.0,2023-09-29 19:00:00
102,56,24.5,0.0,2023-09-29 20:00:00
102,56,24.5,0.0,2023-09-29 21:00:00
102,56,24.4,0.0,2023-09-29 22:00:00
102,56,24.4,0.0,2023-09-29 23:00:00
102,56,24.3,0.0,2023-09-30 00:00:00
101,56,24.2,0.0,2023-09-30 01:00:00
101,56,24.1,0.0,2023-09-30 02:00:00
101,56,24.0,0.0,2023-09-30 03:00:00
101,56,23.8,0.0,2023-09-30 04:00:00
101,56,23.7,0.0,2023-09-30 05:00:00
101,56,23.6,0.0,2023-09-30 06:00:00
101,56,23.6,0.0,2023-09-30 07:00:00
101,56,23.6,0.0,2023-09-30 08:00:00
101,56,23.7,0.0,2023-09-30 09:00:00
101,56,23.9,0.0,2023-09-30 10:00:00
101,56,24.2,0.0,2023-09-30 11:00:00
100,57,24.5,0.0,2023-09-30 12:00:00
101,58,24.5,0.0,2023-09-30 13:00:00
101,58,24.7,0.0,2023-09-30 14:00:00
101,58,25.0,0.0,2023-09-30 15:00:00
101,59,25.2,0.0,2023-09-30 16:00:00
101,60,25.4,0.0,2023-09-30 17:00:00
101,60,25.4,0.0,2023-09-30 18:00:00
101,60,25.4,0.0,2023-09-30 19:00:00
101,59,25.3,0.0,2023-09-30 20:00:00
101,59,25.3,0.0,2023-09-30 21:00:00
101,59,25.2,0.0,2023-09-30 22:00:00
101,59,25.2,0.0,2023-09-30 23:00:00
101,59,25.1,0.0,2023-10-01 00:00:00
100,59,25.0,0.0,2023-10-01 01:00:00
100,59,24.9,0.0,2023-10-01 02:00:00
100,59,24.8,0.0,2023-10-01 03:00:00
100,59,24.8,0.0,2023-10-01 04:00:00
100,60,24.6,0.0,2023-10-01 05:00:00
100,62,24.4,0.0,2023-10-01 06:00:00
100,62,24.3,0.0,2023-10-01 07:00:00
100,62,24.3,0.0,2023-10-01 08:00:00
100,63,24.2,0.0,2023-10-01 09:00:00
100,63,24.2,0.0,2023-10-01 10:00:00
100,63,24.2,0.0,2023-10-01 11:00:00
100,63,24.2,0.0,2023-10-01 12:00:00
100,64,24.1,0.0,2023-10-01 13:00:00
102,65,24.0,0.0,2023-10-01 14:00:00
100,65,24.2,0.0,2023-10-01 15:00:00
100,65,24.2,0.0,2023-10-01 16:00:00
100,65,24.2,0.0,2023-10-01 17:00:00
100,66,24.1,0.0,2023-10-01 18:00:00
100,66,24.0,0.0,2023-10-01 19:00:00
100,66,24.0,0.0,2023-10-01 20:00:00
100,66,23.9,0.0,2023-10-01 21:00:00
100,65,23.8,0.0,2023-10-01 22:00:00
100,65,23.7,0.0,2023-10-01 23:00:00
99,65,23.6,0.0,2023-10-02 00:00:00
100,65,23.6,0.0,2023-10-02 01:00:00
100,66,23.5,0.0,2023-10-02 02:00:00
99,66,23.4,0.0,2023-10-02 03:00:00
99,65,23.3,0.0,2023-10-02 04:00:00
99,65,23.3,0.0,2023-10-02 05:00:00
99,65,23.2,0.0,2023-10-02 06:00:00
99,65,23.2,0.0,2023-10-02 07:00:00
99,65,23.2,0.0,2023-10-02 08:00:00
98,65,23.4,0.0,2023-10-02 09:00:00
97,65,24.0,0.0,2023-10-02 10:00:00
98,66,24.2,0.0,2023-10-02 11:00:00
98,67,24.4,0.0,2023-10-02 12:00:00
98,72,24.4,0.0,2023-10-02 13:00:00
99,72,24.5,0.0,2023-10-02 14:00:00
99,70,24.6,0.0,2023-10-02 15:00:00
99,70,24.7,0.0,2023-10-02 16:00:00
99,69,24.8,0.0,2023-10-02 17:00:00
99,69,24.8,0.0,2023-10-02 18:00:00
99,67,24.8,0.0,2023-10-02 19:00:00
98,66,24.7,0.0,2023-10-02 20:00:00
98,66,24.6,0.0,2023-10-02 21:00:00
99,65,24.6,0.0,2023-10-02 22:00:00
99,64,24.5,0.0,2023-10-02 23:00:00
98,64,24.4,0.0,2023-10-03 00:00:00
99,63,24.3,0.0,2023-10-03 01:00:00
98,63,24.2,0.0,2023-10-03 02:00:00
98,63,24.1,0.0,2023-10-03 03:00:00
98,63,24.0,0.0,2023-10-03 04:00:00
98,63,24.0,0.0,2023-10-03 05:00:00
98,63,23.9,0.0,2023-10-03 06:00:00
98,63,23.8,0.0,2023-10-03 07:00:00
97,62,24.2,0.0,2023-10-03 08:00:00
100,64,24.6,0.0,2023-10-03 09:00:00
99,65,24.8,0.0,2023-10-03 10:00:00
99,66,24.7,0.0,2023-10-03 11:00:00
99,66,25.0,0.0,2023-10-03 12:00:00
99,66,24.9,0.0,2023-10-03 13:00:00
99,66,25.0,0.0,2023-10-03 14:00:00
99,67,25.1,0.0,2023-10-03 15:00:00
99,68,25.2,0.0,2023-10-03 16:00:00
99,68,25.4,0.0,2023-10-03 17:00:00
99,68,25.4,0.0,2023-10-03 18:00:00
99,68,25.4,0.0,2023-10-03 19:00:00
99,68,25.4,0.0,2023-10-03 20:00:00
99,68,25.4,0.0,2023-10-03 21:00:00
99,68,25.5,0.0,2023-10-03 22:00:00
99,67,25.5,0.0,2023-10-03 23:00:00
99,67,25.5,0.0,2023-10-04 00:00:00
99,67,25.4,0.0,2023-10-04 01:00:00
99,66,25.3,0.0,2023-10-04 02:00:00
99,66,25.2,0.0,2023-10-04 03:00:00
99,65,25.1,0.0,2023-10-04 04:00:00
99,65,25.0,0.0,2023-10-04 05:00:00
98,65,24.9,0.0,2023-10-04 06:00:00
98,65,24.8,0.0,2023-10-04 07:00:00
95,65,25.2,0.0,2023-10-04 08:00:00
100,66,25.4,0.0,2023-10-04 09:00:00
98,67,25.7,0.0,2023-10-04 10:00:00
100,68,26.1,0.0,2023-10-04 11:00:00
100,68,26.2,0.0,2023-10-04 12:00:00
100,72,26.3,0.0,2023-10-04 13:00:00
100,74,26.4,0.0,2023-10-04 14:00:00
100,75,26.6,0.0,2023-10-04 15:00:00
100,75,26.6,0.0,2023-10-04 16:00:00
100,74,26.8,0.0,2023-10-04 17:00:00
100,69,26.8,0.0,2023-10-04 18:00:00
100,67,26.7,0.0,2023-10-04 19:00:00
100,67,26.6,0.0,2023-10-04 20:00:00
100,67,26.5,0.0,2023-10-04 21:00:00
100,67,26.5,0.0,2023-10-04 22:00:00
100,66,26.4,0.0,2023-10-04 23:00:00
100,66,26.3,0.0,2023-10-05 00:00:00
100,66,26.2,0.0,2023-10-05 01:00:00
100,65,26.1,0.0,2023-10-05 02:00:00
100,65,26.0,0.0,2023-10-05 03:00:00
100,65,25.9,0.0,2023-10-05 04:00:00
100,65,25.8,0.0,2023-10-05 05:00:00
100,65,25.6,0.0,2023-10-05 06:00:00
100,65,25.5,0.0,2023-10-05 07:00:00
100,65,25.6,0.0,2023-10-05 08:00:00
101,67,26.1,0.0,2023-10-05 09:00:00
104,68,26.7,0.0,2023-10-05 10:00:00
103,69,27.1,0.0,2023-10-05 11:00:00
103,68,27.5,0.0,2023-10-05 12:00:00
103,69,27.4,0.0,2023-10-05 13:00:00
103,68,27.5,0.0,2023-10-05 14:00:00
